F0001|Baklava|Rich middle eastern cake of thin layers of flaky pastry filled with nuts and honey|8.50|No
F0002|Gnocchi|Italian pasta dish made from potato and served with a rich cheese sauce|12.50|No
F0003|Haggis|Scottish delicacy made from tripe and oats and served with whiskey sauce|18.70|No
F0004|Jambalaya|Creole rish dish containing prawns, chicken, sausage and vegetables|23.0|No
F0005|Bibimbab|Spicy Korean rice dish with vegetables, bean paste and beef|15.80|No
F0006|Fondue|European dish of assorted melted cheeses. Served with bread for dipping|31.50|No
F0007|Kelewele|From Ghana, fried plantains seasoned with spices|11.50|No
F0008|Latte|nice nice nice|5.50|Coffee
F0009|Cappuccino|rich and creamy|4.50|Coffee
F0010|Espresso|strong and bold|3.0|Coffee
F0011|Apple Pie|sweet and tangy|6.0|Pie
F0012|Pumpkin Pie|spiced and delicious|5.75|Pie
F0013|Cherry Pie|juicy and tart|6.50|Pie
